FIRST,LAST,ID,BATS,TEAM,YEAR,AGE,AgeDiff,Tm,Lg,Lev,Aff,G,PA,AB,R,H,_2B,_3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,BB_Percent,K_percent,BB_K,HR_Percent,IOS
Jose,Curpa,curpa-000jos,Right,Arizona Diamondbacks,2017,17,,,,FRk,ARI,61,256,212,37,55,12,2,0,18,13,9,29,41,.259,.376,.335,.711,71,1,12,1,2,1,11.328,16.016,70.732,0.000,0.076
Jose,Curpa,curpa-000jos,Right,Arizona Diamondbacks,2017,17,-1.1,Diamondbacks 2,DOSL,FRk,ARI,39,169,139,24,38,9,1,0,16,9,5,20,25,.273,.393,.353,.745,49,0,8,1,1,1,11.834,14.793,80.000,0.000,0.080
Jose,Curpa,curpa-000jos,Right,Arizona Diamondbacks,2017,17,-1.1,Diamondbacks 1,DOSL,FRk,ARI,22,87,73,13,17,3,1,0,2,4,4,9,16,.233,.345,.301,.646,22,1,4,0,1,0,10.345,18.391,56.250,0.000,0.068
Jose,Curpa,curpa-000jos,Right,Arizona Diamondbacks,2017,17,-1.1,Diamondbacks 2,DOSL,FRk,ARI,3,13,12,2,2,0,0,0,0,2,0,1,2,.167,.231,.167,.397,2,0,0,0,0,0,7.692,15.385,50.000,0.000,0.000
Jose,Curpa,curpa-000jos,Right,Arizona Diamondbacks,2017,17,-1.1,Diamondbacks 1,DOSL,FRk,ARI,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000
Jose,Curpa,curpa-000jos,Right,Arizona Diamondbacks,2017,17,-1.1,Diamondbacks 2,DOSL,FRk,ARI,3,16,12,2,2,0,0,0,1,1,1,1,3,.167,.375,.167,.542,2,0,3,0,0,0,6.250,18.750,33.333,0.000,0.000
Jose,Curpa,curpa-000jos,Right,Arizona Diamondbacks,2017,17,-1.1,Diamondbacks 1,DOSL,FRk,ARI,20,85,72,13,17,3,1,0,2,4,4,8,15,.236,.341,.306,.647,22,1,4,0,1,0,9.412,17.647,53.333,0.000,0.070
Jose,Curpa,curpa-000jos,Right,Arizona Diamondbacks,2018,18,0.3,Diamondbacks 1,DOSL,FRk,ARI,50,218,180,34,48,11,0,0,20,31,4,26,30,.267,.390,.328,.718,59,5,11,0,1,0,11.927,13.761,86.667,0.000,0.061
Manny,Jefferson,jeffer000man,Right,,2016,21,0.0,Hillsboro,NORW,A-,ARI,59,228,203,19,42,11,0,3,22,5,3,22,45,.207,.289,.305,.595,62,2,2,0,1,0,9.649,19.737,48.889,1.316,0.098
Manny,Jefferson,jeffer000man,Right,,2017,22,0.7,Kane County,MIDW,A,ARI,121,471,420,41,93,20,3,2,40,7,2,35,105,.221,.291,.298,.588,125,8,9,0,7,0,7.431,22.293,33.333,0.425,0.077
Manny,Jefferson,jeffer000man,Right,,2018,23,,,,A-A+,ARI,13,48,41,5,7,2,2,0,9,0,1,5,13,.171,.250,.317,.567,13,3,0,0,2,0,10.417,27.083,38.462,0.000,0.146
Manny,Jefferson,jeffer000man,Right,,2018,23,0.7,Visalia,CALL,A+,ARI,5,17,15,2,4,2,1,0,7,0,1,1,6,.267,.294,.533,.827,8,2,0,0,1,0,5.882,35.294,16.667,0.000,0.266
Manny,Jefferson,jeffer000man,Right,,2018,23,1.7,Kane County,MIDW,A,ARI,8,31,26,3,3,0,1,0,2,0,0,4,7,.115,.226,.192,.418,5,1,0,0,1,0,12.903,22.581,57.143,0.000,0.077
Cassidy,Brown,brown-003cas,Right,Cincinnati Reds,2016,21,0.4,Billings,PION,Rk,CIN,43,178,149,28,48,6,0,1,25,4,1,20,32,.322,.409,.383,.792,57,4,4,2,3,0,11.236,17.978,62.500,0.562,0.061
Cassidy,Brown,brown-003cas,Right,Cincinnati Reds,2017,22,0.7,Dayton,MIDW,A,CIN,83,321,277,31,46,13,0,4,29,4,0,33,67,.166,.266,.256,.523,71,10,6,2,3,0,10.280,20.872,49.254,1.246,0.090
Cassidy,Brown,brown-003cas,Right,Cincinnati Reds,2018,23,,,,AA-A+,CIN,37,131,119,8,20,3,1,1,8,0,0,10,42,.168,.237,.235,.472,28,2,1,0,1,0,7.634,32.061,23.810,0.763,0.067
Cassidy,Brown,brown-003cas,Right,Cincinnati Reds,2018,23,-0.9,Pensacola,SOUL,AA,CIN,30,105,97,6,17,3,0,1,5,0,0,7,38,.175,.229,.237,.466,23,1,0,0,1,0,6.667,36.190,18.421,0.952,0.062
Cassidy,Brown,brown-003cas,Right,Cincinnati Reds,2018,23,0.6,Daytona,FLOR,A+,CIN,7,26,22,2,3,0,1,0,3,0,0,3,4,.136,.269,.227,.497,5,1,1,0,0,0,11.538,15.385,75.000,0.000,0.091
Taylor,Featherston,feathe000tay,Right,,2011,21,-0.3,Tri-City,NORW,A-,COL,49,192,169,19,39,8,3,2,20,3,1,17,38,.231,.312,.349,.661,59,4,3,3,0,1,8.854,19.792,44.737,1.042,0.118
Taylor,Featherston,feathe000tay,Right,,2012,22,0.3,Asheville,SALL,A,COL,105,444,378,75,113,30,4,12,53,15,4,53,87,.299,.393,.495,.887,187,5,8,1,4,0,11.937,19.595,60.920,2.703,0.196
Taylor,Featherston,feathe000tay,Right,,2013,23,0.1,Modesto,CALL,A+,COL,116,516,469,87,137,31,10,13,81,17,4,30,110,.292,.342,.484,.826,227,14,9,2,6,0,5.814,21.318,27.273,2.519,0.192
Taylor,Featherston,feathe000tay,Right,,2014,24,-0.1,Tulsa,TL,AA,COL,127,550,497,69,129,33,4,16,57,14,6,38,114,.260,.322,.439,.760,218,3,9,3,3,3,6.909,20.727,33.333,2.909,0.179
Taylor,Featherston,feathe000tay,Right,,2014,24,1.7,Salt River,AZFL,Fal,,19,79,68,15,20,2,3,1,10,4,1,7,23,.294,.355,.456,.811,31,3,0,3,1,0,8.861,29.114,30.435,1.266,0.162
Taylor,Featherston,feathe000tay,Right,,2015,25,-3.5,LAA,AL,MLB,LAA,101,169,154,23,25,5,1,2,9,4,2,7,46,.162,.212,.247,.459,38,3,3,4,1,0,4.142,27.219,15.217,1.183,0.085
