Bats,Age,PA,BA,OBP,SLG,BB%,K%,BB/K,HR%,Lev,Aff,First,Last,ID
Right,18,218,.267,.390,.328,11.927,13.761,86.667,0.000,FRk,ARI,Jose,Curpa,curpa-000jos
Right,23,48,.171,.250,.317,10.417,27.083,38.462,0.000,A-A+,ARI,Manny,Jefferson,jeffer000man
Right,23,131,.168,.237,.235,7.634,32.061,23.810,0.763,AA-A+,CIN,Cassidy,Brown,brown-003cas
Right,28,358,.197,.275,.321,7.821,33.520,23.333,1.955,AAA-AA,MIN-CIN,Taylor,Featherston,feathe000tay
Right,19,131,.219,.366,.267,17.557,9.160,191.667,0.000,FRk,CIN,Jorge,Sequera,sequer000jor
Right,21,10,.300,.300,.400,0.000,60.000,0.000,0.000,Rk,CIN,Mauro,Conde,conde-000mau
Right,23,427,.220,.301,.332,7.260,19.438,37.349,0.937,A+-Rk,ARI,Cam,Duzenack,duzena000cam
Right,22,166,.250,.339,.396,10.241,21.084,48.571,1.807,Rk-A-,ARI,Alex,King,king--000ale
Left,21,77,.078,.224,.094,14.286,32.468,44.000,0.000,Rk,ARI,Luis,Cossio,cossio000lui
Left,18,199,.216,.302,.273,9.045,16.583,54.545,0.503,FRk,ARI,Andres,Cordero,corder001and
Left,24,70,.232,.371,.268,17.143,22.857,75.000,0.000,A-Rk-A-,ARI,Terence,Connelly,connel003ter
Both,18,146,.213,.308,.268,10.959,27.397,40.000,0.685,FRk,CIN,Samuel,Colmenarez,colmen001sam
Right,23,208,.271,.327,.432,6.731,31.731,21.212,2.404,A+-A-AA,CIN,Malik,Collymore,collym000mal
Left,18,85,.127,.262,.183,15.294,25.882,59.091,0.000,Rk,ARI,Dominique,Collie,collie000dom
Right,19,123,.200,.252,.348,1.626,47.154,3.448,1.626,FRk,CIN,Jorge,Sencion,sencio000jor
Right,19,150,.252,.295,.367,4.667,25.333,18.421,2.667,Rk,CIN,Leonardo,Seminati,semina000leo
Right,28,300,.265,.333,.448,9.000,26.333,34.177,3.333,AAA,CIN,Steve,Selsky,selsky002ste
Right,18,124,.274,.306,.359,4.032,22.581,17.857,1.613,Rk,CIN,Victor,Ruiz,ruiz--001vic
Right,21,277,.227,.331,.349,8.664,25.271,34.286,1.444,A--A,ARI,Tra,Holmes,holmes000tra
Right,23,377,.298,.347,.427,4.775,11.936,40.000,1.857,A,ARI,Jancarlos,Cintron,cintro001jan
Left,17,193,.251,.326,.450,10.363,26.943,38.462,2.073,FRk,CIN,Darlin,Guzman,guzman001dar
Right,31,191,.261,.351,.503,11.518,28.272,40.741,4.712,AAA-AA,ARI,Cody,Decker,decker001cod
Right,22,310,.225,.310,.324,7.742,24.516,31.579,0.968,A,CIN,Mark,Kolozsvary,kolozs000mar
Both,23,186,.189,.257,.238,6.989,25.806,27.083,0.000,A+-AAA,ARI,Raymel,Flores,flores002ray
,,,,,,,,,,,,Juan,Araujo,araujo003jua
Both,17,204,.212,.299,.279,9.804,25.490,38.462,0.490,FRk,ARI,Sergio,Gutierrez,gutier001ser
,,,,,,,,,,,,Bryan,Araiza,araiza000bry
Left,26,223,.215,.299,.308,10.314,18.834,54.762,1.345,AAA,BOS,Ramón,Flores,flores002ram
Right,24,539,.293,.328,.474,5.566,22.820,24.390,3.525,AAA-AA,CIN,Gabriel,Guerrero,guerre000gab
Left,22,484,.309,.394,.424,11.157,13.430,83.077,1.860,A-A+,ARI-MIN,Ernie,De La Trinidad,delatr000ern
Right,17,166,.245,.307,.318,6.627,19.277,34.375,0.000,FRk,ARI,Roman,Ruiz,ruiz--003rom
Left,25,56,.077,.125,.115,1.786,35.714,5.000,0.000,Ind,,Austin,Byler,byler-000aus
Right,25,99,.250,.303,.337,6.061,38.384,15.789,1.010,AA-AAA,ARI,Jose,Queliz,queliz000jos
Both,24,315,.229,.265,.321,4.127,23.810,17.333,0.952,AA-A+-AAA,ARI,Jose,Vinicio,vinici001jos
Right,19,66,.250,.288,.267,6.061,18.182,33.333,0.000,Rk,ARI,Luvin,Valbuena,valbue000luv
Right,31,179,.253,.288,.313,4.469,15.642,28.571,1.117,AA-AAA,ARI,Alberto,Rosario,rosari001alb
Left,19,276,.297,.382,.452,10.145,24.275,41.791,2.899,A-,ARI,Andy,Yerzy,yerzy-000and
Left,23,126,.266,.365,.358,13.492,24.603,54.839,0.000,A,NYY,Matt,McPhearson,mcphea000mat
Right,21,102,.176,.250,.187,8.824,29.412,30.000,0.000,Rk,CIN,Satchel,McElroy,mcelro000sat
Right,23,343,.212,.312,.350,10.787,30.321,35.577,2.332,A+-A,ARI,Stephen,Smith,smith-021ste
Left,22,504,.255,.343,.392,11.310,12.897,87.692,2.183,A+,ARI,Pavin,Smith,smith-000pav
Left,20,253,.288,.375,.443,9.091,16.206,56.098,1.186,A--Rk,ARI,Jake,McCarthy,mccart005jac
Left,20,65,.278,.385,.352,15.385,30.769,50.000,1.538,Rk,ARI,Jordan,McArdle,mcardl000jor
Right,20,454,.211,.284,.383,8.370,33.040,25.333,2.423,A--A,ARI,Joey,Rose,rose--000joe
Right,28,507,.303,.395,.394,11.440,12.229,93.548,0.986,Ind,,Alfredo,Rodriguez,rodrig005alf
Right,24,172,.210,.273,.312,6.395,18.605,34.375,1.163,A+-AA-Rk,CIN,Alfredo,Rodriguez,rodrig008alf
Right,17,256,.279,.363,.428,10.547,26.172,40.299,2.734,Rk,ARI,Kristian,Robinson,robins000kri
Left,25,154,.235,.325,.318,11.688,22.727,51.429,0.649,AAA,,James,Vasquez,vasque000jam
Right,24,340,.262,.382,.415,12.647,22.647,55.844,2.647,MLB,TBR,Daniel,Robertson,robert004dan
Left,21,354,.294,.367,.475,8.475,20.339,41.667,3.390,A+-Rk,ARI,Daulton,Varsho,varsho000dau
Right,23,119,.174,.216,.183,3.361,13.445,25.000,0.000,A+-A,CIN,Hector,Vargas,vargas002hec
Right,24,110,.319,.436,.538,13.636,23.636,57.692,3.636,Rk,ARI,Joe,Robbins,robbin000joe
Right,32,420,.262,.360,.406,10.238,14.524,70.492,2.143,AA-AAA,ARI,Daniel,Robertson,robert002dan
Left,23,483,.260,.337,.454,10.559,19.048,55.435,2.484,AAA-AA,CIN,Josh,VanMeter,vanmet002jos
Left,19,212,.229,.344,.343,13.208,31.604,41.791,1.887,FRk,ARI,Carmelo,Paulino,paulin003car
Both,19,439,.280,.345,.348,7.973,16.173,49.296,0.683,A,ARI-MIN,Gabriel,Maciel,maciel000gab
